id,fw,iw,white,female,wealthqr,pwealthqr,wealthqn,pwealthqn,wealthtr,pwealthtr,wealthpr,pwealthpr
1095030,20,56.833,1,1,2,3,3,4,2,2,49,61
1096003,25,23.299999,1,1,2,1,2,1,2,1,40,6
1096004,25,43.327,1,0,1,1,1,1,1,1,16,6
1096005,25,40.255001,1,1,1,1,1,1,1,1,6,6
1097002,23,42.574001,1,0,3,2,4,2,3,1,72,32
1097003,23,45.894001,1,1,2,2,3,2,2,1,48,32
1099005,23,40.784,1,1,1,1,1,1,1,1,13,10
1100003,32,49.820999,1,1,2,1,3,1,2,1,50,17
1100004,32,49.744999,1,1,2,1,2,1,1,1,27,17
1107003,19.5,44.516998,1,1,4,3,4,4,3,2,76,61
1107006,19.5,44.889999,1,0,3,3,3,4,2,2,53,61
1107007,19.5,45.325001,1,0,2,3,2,4,1,2,31,61
1121003,36,54.026001,1,0,3,2,3,2,2,1,58,27
1129006,5,6.789,0,0,3,1,3,2,2,1,55,21
1141003,33,56.27,1,1,2,2,2,3,1,2,32,41
1142003,34,53.922001,1,1,2,2,2,3,2,2,37,43
1151004,33,54.105999,1,0,4,4,5,5,3,3,94,84
1151005,33,60.203999,1,0,3,4,4,5,2,3,66,84
1152025,36,53.675999,1,0,1,1,1,1,1,1,7,13
1162003,18,63.881001,1,1,4,4,5,5,3,3,98,94
1163003,35,61.245998,1,0,4,2,5,3,3,2,81,48
1163004,35,63.459999,1,1,4,2,5,3,3,2,90,48
1163005,35,57.125,1,0,4,2,4,3,3,2,79,48
1163006,35,52.478001,1,0,3,2,4,3,3,2,72,48
1163007,35,60.872002,1,0,4,2,4,3,3,2,76,48
1163008,35,62.84,1,0,3,2,3,3,2,2,53,48
1164003,18,61.403,1,0,3,4,4,4,3,3,68,76
1164004,18,62.389,1,0,4,4,5,4,3,3,83,76
1166005,32,45.717999,1,0,2,1,3,2,2,1,43,21
1166009,32,62.395,1,0,2,1,2,2,1,1,28,21
1168006,25,40.333,0,1,2,1,2,1,1,1,27,3
1168008,25,38.215,0,1,1,1,2,1,1,1,24,3
1169003,32,54.192001,1,1,4,3,5,3,3,2,96,57
1169004,32,57.166,1,0,4,3,5,3,3,2,81,57
1178004,24,39.914001,1,1,4,2,4,2,3,1,77,33
1179004,31,44.858002,1,0,4,3,4,4,3,2,80,66
1185004,34,54.271999,1,1,3,4,4,5,2,3,63,92
1185005,34,56.948002,1,0,3,4,4,5,3,3,69,92
1191003,32,54.389,1,1,3,2,4,2,2,1,64,33
1192003,32,52.886002,1,1,2,2,2,2,2,2,39,39
1192004,32,50.862999,1,1,2,2,2,2,1,2,31,39
1192005,32,52.414001,1,1,2,2,3,2,2,2,46,39
1200003,46,80.945999,1,1,3,3,4,4,3,3,75,70
1200004,46,65.160004,1,1,4,3,5,4,3,3,82,70
1200006,46,70.887001,1,1,2,3,3,4,2,3,44,70
1210003,45,58.516998,1,1,4,2,4,3,3,2,77,44
1211003,22,37.569,1,0,4,3,5,4,3,3,83,71
1211004,22,36.66,1,0,3,3,3,4,2,3,58,71
1213003,33.5,71.691002,1,1,2,3,2,3,1,2,33,56
1213004,33.5,73.624001,1,1,1,3,1,3,1,2,3,56
1221004,31,56.971001,1,0,4,4,5,5,3,3,84,89
1221005,31,61.471001,1,0,4,4,5,5,3,3,92,89
